year,temp_mexico,temp_yucatan,dif
1901,20.26,25.47,5.21
1902,20.58,25.98,5.4
1903,19.76,25.81,6.05
1904,20.22,25.77,5.55
1905,20.03,25.98,5.95
1906,20.07,25.6,5.53
1907,20.54,25.91,5.37
1908,20.36,25.81,5.45
1909,20.42,25.91,5.49
1910,20.33,24.88,4.55
1911,20.36,26.09,5.73
1912,19.79,26.05,6.26
1913,19.84,25.72,5.88
1914,20.17,25.55,5.38
1915,20.28,25.7,5.42
1916,20.65,25.71,5.06
1917,20.34,25.73,5.39
1918,20.23,26.05,5.82
1919,19.79,25.94,6.15
1920,20.04,25.8,5.76
1921,20.58,25.96,5.38
1922,20.42,26.33,5.91
1923,20.21,26.02,5.81
1924,20,25.9,5.9
1925,20.23,25.94,5.71
1926,20.22,25.92,5.7
1927,20.71,26.09,5.38
1928,20.42,25.8,5.38
1929,20.29,26.17,5.88
1930,20.11,25.66,5.55
1931,20.12,25.57,5.45
1932,20.25,26.06,5.81
1933,20.76,26.16,5.4
1934,20.74,25.77,5.03
1935,20.44,25.9,5.46
1936,20.41,26.13,5.72
1937,20.53,26.02,5.49
1938,20.55,25.7,5.15
1939,20.54,25.89,5.35
1940,20.51,25.48,4.97
1941,20.56,25.96,5.4
1942,20.63,25.83,5.2
1943,20.76,25.64,4.88
1944,20.48,26.02,5.54
1945,20.98,26.22,5.24
1946,20.99,26.29,5.3
1947,20.74,26.32,5.58
1948,20.95,26.32,5.37
1949,20.84,26.2,5.36
1950,21.19,25.64,4.45
1951,20.93,25.9,4.97
1952,20.7,25.92,5.22
1953,20.99,26.29,5.3
1954,21.01,25.63,4.62
1955,20.5,25.88,5.38
1956,20.62,25.65,5.03
1957,20.96,26.2,5.24
1958,20.6,26.32,5.72
1959,20.65,26.25,5.6
1960,20.58,25.95,5.37
1961,20.57,26.01,5.44
1962,20.9,25.79,4.89
1963,20.74,25.84,5.1
1964,20.43,26.05,5.62
1965,20.58,25.84,5.26
1966,20.2,25.49,5.29
1967,20.49,25.78,5.29
1968,20.11,25.55,5.44
1969,20.77,26.09,5.32
1970,20.36,25.82,5.46
1971,20.5,25.92,5.42
1972,20.85,26.32,5.47
1973,20.42,26.13,5.71
1974,20.46,25.79,5.33
1975,20.27,26.28,6.01
1976,19.91,25.7,5.79
1977,20.73,25.97,5.24
1978,20.53,25.89,5.36
1979,20.25,26.1,5.85
1980,20.78,26.27,5.49
1981,20.64,26,5.36
1982,20.89,26.38,5.49
1983,20.62,26.31,5.69
1984,20.48,25.84,5.36
1985,20.54,26.24,5.7
1986,20.77,26.19,5.42
1987,20.41,26.21,5.8
1988,20.52,26.22,5.7
1989,20.91,26.24,5.33
1990,20.96,26.42,5.46
1991,20.9,26.5,5.6
1992,20.68,26.05,5.37
1993,20.96,26.09,5.13
1994,21.38,26.51,5.13
1995,21.31,26.53,5.22
1996,21.17,26.13,4.96
1997,20.91,26.54,5.63
1998,21.44,26.81,5.37
1999,21,26.19,5.19
2000,21.17,26.28,5.11
2001,21,26.52,5.52
2002,21.19,26.7,5.51
2003,21.26,26.76,5.5
2004,20.98,26.64,5.66
2005,21.28,26.61,5.33
2006,21.45,26.59,5.14
2007,21.09,26.68,5.59
2008,21.06,26.55,5.49
2009,21.55,26.86,5.31
2010,20.78,26,5.22
2011,21.59,26.86,5.27
2012,21.66,26.85,5.19
2013,21.16,26.72,5.56
2014,21.39,26.55,5.16
2015,21.54,27.16,5.62
2016,21.75,27.15,5.4
2017,22.03,27.03,5
2018,21.66,26.59,4.93
2019,21.88,27.08,5.2
2020,22.08,27.36,5.28
2021,21.86,27.09,5.23
