Edad,Sexo,Ingreso
Total,Total,24414
12 a 19 años,Total,6532
20 a 29 años,Total,22181
30 a 39 años,Total,30395
40 a 49 años,Total,31694
50 a 59 años,Total,31313
60 o más años,Total,23738
Total,Hombres,29285
12 a 19 años,Hombres,7544
20 a 29 años,Hombres,25511
30 a 39 años,Hombres,36628
40 a 49 años,Hombres,37655
50 a 59 años,Hombres,37947
60 o más años,Hombres,30216
Total,Mujeres,19081
12 a 19 años,Mujeres,5282
20 a 29 años,Mujeres,18251
30 a 39 años,Mujeres,23634
40 a 49 años,Mujeres,24988
50 a 59 años,Mujeres,23652
60 o más años,Mujeres,17806
